1|Duyên Ta Trời Lấy|Anh Khoa|https://www.nhaccuatui.com/bai-hat/duyen-ta-troi-lay-anh-khoa.73Aut9bi6Vw2.html|Chưa có|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Em Vẫn Chờ|Thu Trang|https://www.nhaccuatui.com/bai-hat/em-van-cho-thu-trang.ZlID2VCHbS8g.html|Trần Vũ|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|Vài Lần|Lâm Nguyên|https://www.nhaccuatui.com/bai-hat/vai-lan-lam-nguyen.1BfrTR8dPeXp.html|Lâm Nguyên|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|Đúng Sai Nằm Ở Đâu (Theme Song From "Ranh Giới Gia Tộc”)|S-Quang Ngọc|https://www.nhaccuatui.com/bai-hat/dung-sai-nam-o-dau-theme-song-from-ranh-gioi-gia-toc-s-quang-ngoc.rUUWdWPr5x7v.html|Trương Đình Hoàng|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
5|Thực Tại|Manh Triệu|https://www.nhaccuatui.com/bai-hat/thuc-tai-manh-trieu-ft-gun.zrznxIxADwR1.html|Manh Triệu, Gun|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6|Lỡ Làng|Thái Quỳnh|https://www.nhaccuatui.com/bai-hat/lo-lang-thai-quynh.NF7TetSM524x.html|Nguyễn Vĩ|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|Nicot!ne|hooligan.|https://www.nhaccuatui.com/bai-hat/nicotne-hooligan.yT6akXQ1Qasg.html|hooligan.|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8|Đường Vào Tim Em|T.A.P|https://www.nhaccuatui.com/bai-hat/duong-vao-tim-em-tap-ft-dutzux.RHwG6AjAXL81.html|Chưa có|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|Có Lẽ Vì|Heni|https://www.nhaccuatui.com/bai-hat/co-le-vi-heni.81vD3BJM6OML.html|Heni|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Tệ Thật, Anh Nhớ Em|Thanh Hưng|https://www.nhaccuatui.com/bai-hat/te-that-anh-nho-em-thanh-hung.XPRKMZKQfBt5.html|Thanh Hưng|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
